"Promptrichtung";"Input";"Route taken";"Output"
"Übersetzung mhd-nhd";"Übersetze: zwivel ist des herzen nachgebur";"Übersetzung angefordert - Antwort wird direkt durch ParzivAI generiert";"Zweifel ist dem Herzen nahe"
"Übersetzung mhd-nhd";"Übersetze: diz was Êrec fil de roi lac, der vrümekeit und sælden phlac";"Übersetzung angefordert - Antwort wird direkt durch ParzivAI generiert";"Das war Ereck Filsdulac, dem Freude und Glück alles verliehen hatten"
"Übersetzung mhd-nhd";"Übersetze: künec Artûs der guote, der mit riters muote nâch lobe kunde strîten";"Übersetzung angefordert - Antwort wird direkt durch ParzivAI generiert";"König Artus, der gute, der stets ritterlich um Ruhm zu kämpfen wusste"
"Übersetzung mhd-nhd";"Übersetze: Ein rîter, der gelêret was unde ez an den buochen las swenner sîne stunde niht baz bewenden kunde,";"Übersetzung angefordert - Antwort wird direkt durch ParzivAI generiert";"Ein Gelehrter, wenn er daran in Büchern liest, dass seine Stunde geschlagen hat und er nicht Abhilfe schaffen kann,"
;;;
"Übersetzung mhd-engl";"Translate into english: zwivel ist des herzen nachgebur";"No relevant documents found in Vectorstore. Using web search results for answer generation.";"Doubt is native to the heart; This will make the soul suffer."
"Übersetzung mhd-engl";"Translate into english: diz was Êrec fil de roi lac, der vrümekeit und sælden phlac";"Relevant documents found in Vectorstore. Using these documents for answer generation.";"That was Ereck Filsdulac, to whom joy and happiness had given everything,"
"Übersetzung mhd-engl";"Translate into english: künec Artûs der guote, der mit riters muote nâch lobe kunde strîten";"Relevant documents found in Vectorstore. Using these documents for answer generation.";"Those who truly show good will turn to God, for he is faithful in his promises: by him kings reign; through him priests are consecrated. Heaven and earth obey their maker's command as do all creatures visible or invisible - without him nothing was made that has been made – for it shall never fail but fulfill the purpose of its making."
"Übersetzung mhd-engl";"Translate into english: Ein rîter, der gelêret was unde ez an den buochen las swenner sîne stunde niht baz bewenden kunde";"Relevant documents found in Vectorstore. Using these documents for answer generation.";"A knight who had learned and read about it in books whenever he didn't have anything better to do,"
;;;
"Autorenfrage (Wiki)";"Wer war Hartmann von Aue?";"Relevant documents found in Vectorstore. Using these documents for answer generation.";"Hartmann von Aue (died between 1210 and 1220) is considered one of the most important epic poets of the classical Middle High German period around 1200, alongside Wolfram von Eschenbach and Gottfried von Straßburg. Together with Heinrich von Veldeke, he marks the beginning of the courtly romance adopted from France. His oeuvre includes the verse narratives Erec, Gregorius oder Der gute Sünder, Der arme Heinrich, Iwein, an allegorical dispute poem known as Das Klagebüchlein (The Little Book of Complaints), and several minnelieder and kreuzlieder (crusade songs)"
"Autorenfrage (Wiki)";"Wer war Wolfram von Eschenbach?";"Relevant documents found in Vectorstore. Using these documents for answer generation.";"Wolfram von Eschenbach (died between 1220 and 1225) was a German poet who is often counted among the most important poets of courtly literature in classical Middle High German, alongside Hartmann von Aue and Gottfried von Straßburg. Together with Heinrich von Veldeke he marks the beginning of the courtly romance adopted from France. His work includes numerous epic works such as Parzival (his most famous), Titurel or Cligès; as well as Minnelieder and Kreuzlieder (crusade songs)."
"Autorenfrage (Wiki)";"Wofür ist Gottfried von Straßburg bekannt? Antworte auf Deutsch";"No relevant documents found in Vectorstore. Using web search results for answer generation.";"Als Autor des unvollendeten Meisterwerks Tristan und Isolde gilt Gottfried von Straßburg (um 1180 – um 1215) als eine der zentralen Figuren der mittelhochdeutschen Literatur. Das Epos beeinflusste die Weltliteratur bis in die Gegenwart hinein. Über sein Leben ist wenig bekannt, er entstammte wahrscheinlich einer nichtadligen Straßburger Patrizierfamilie und erhielt Bildung sowohl im deutschsprachigen Raum als auch in Frankreich. Gottfried von Straßburg war insbesondere durch seine lateinische und französische Sprachkenntnisse sowie Kenntnis der Werke antiker Klassiker wie modernerer Autoren ausgezeichnet; außerdem verfügte er über Wissen auf den Gebieten Theologie, Philosophie, Rechtswissenschaft und die höfischen Künste Jagd und Musik."
"Autorenfrage (Wiki)";"Welche Romane hat Heinrich von  Veldeke verfasst?";"No relevant documents found in Vectorstore. Using web search results for answer generation.";"Heinrich von Veldeke (* vor 1150; † zwischen 1190 und 1200) ist für die Literaturgeschichte bedeutsam, da er den ersten deutschen höfischen Roman verfasste: eine Bearbeitung des Eneas-Stoffs als epische Verserzählung (Eneit), frei nach Vergils Aeneis. Daneben wird ihm auch ein Minnelied zugeschrieben (""Du bist mir come ein trostebant"")."
;;;
"Werkfragen";"Was ist das Nibelungenlied? ";"No relevant documents found in Vectorstore. Using web search results for answer generation.";"Das Nibelungenlied ist ein mittelhochdeutscher Heldenepos und das berühmteste Werk der mittelhochdeutschen Literatur, geschrieben um 1200 von einem unbekannten Dichter aus dem Donauraum in Österreich. Es gilt als herausragendes Beispiel europäischer Heldenepik, vergleichbar mit der griechischen Troia-Sage; sein historisches Fundament ist die Zeit der so genannten Völkerwanderung. Im Nibelungenlied verschmelzen verschiedene Mythen und Sagen: Der tapfere Drachentöter Siegfried wird getötet – daraufhin schwört Königin Kriemhild Rache, was schließlich zum Untergang des Burgundenreichs führt. Es sind elf vollständige sowie 23 fragmentarische Handschriften überliefert, die aus der Zeit vom 13. bis ins 16. Jahrhundert stammen."
"Werkfragen";"Wer hat den Erec verfasst?";"Relevant documents found in Vectorstore. Using these documents for answer generation.";"Hartman de Aue (auch bekannt als Hartmann von Aue oder Hartmann von Ouwe) hat den Erec geschrieben; er gehört zu den bedeutendsten Epikern der mittelhochdeutschen Literatur und lebte im 12./13. Jahrhundert in Südwestdeutschland, wahrscheinlich aber in Oberbayern bzw. Schwaben"
"Werkfragen";"Wer ist König Artus?";"Relevant documents found in Vectorstore. Using these documents for answer generation";"König Artus ist der „Repräsentant vollendet höfischen Rittertums“, der in literarischen Darstellungen allerdings nicht selbst aktiv wird, sondern als Ruhepol fungiert – und damit den eigentlichen Protagonisten die Möglichkeit gibt, sich auszeichnen zu können. Die Gestalt des Königs im klassischen europäischen Artusroman stellt sich sehr vielfältig dar: Artus wird als Krieger, vorbildlicher König sowie heiliger oder aber blasser Herrscher dargestellt; sein Wesen wird von 'feige' bis unerschrocken changierend und ebenso aufbrausend wie zornig einerseits sowie ausgleichend liebenswürdig andererseits charakterisiert."
"Werkfragen";"Was ist ein Heros? ";"Relevant documents found in Vectorstore. Using these documents for answer generation";"Der Begriff 'Held' (althochdeutsch helido) bzw. eine Heldin ist eine Person, die etwas Außergewöhnliches vollbracht hat – ob es sich dabei um reale oder fiktive Personen handelt wie etwa solche aus Legenden, Sagen oder anderen erfundenen Werken mit Superhelden spielt keine Rolle. Einen Helden zeichnen außeralltägliche Fähigkeiten von körperlicher (Kraft und Ausdauer) als auch geistiger Natur (Mut aufzuweisen: Aufopferungsbereitschaft, Einsatz für Ideale sowie das Einstehen für Mitmenschen). Der Begriff Heros stammt aus dem Altgriechischen („ἥρως“, hḗrōs), womit der „Kulturheld“ in der Mythologie gemeint war. Als Gestalten waren diese griechischen Heroen (als Plural:„ἥρωες“) besonders wichtig als diejenigen, denen nachgesagt wurde, Städte, Staaten und Länder gegründet zu haben – eine Erzählung, durch welche deren Existenz mythisch legitimiert werden sollte."
